0.58,6.39,1.01,6.6,,,,,,,,,,,,,,,,
0.88,0.04,0.58,0.87,,,,,,,,,,,,,,,,
3.76,4.45,0.66,11.13,,,,,,,,,,,,,,,,
2.04,0.84,0.37,1.75,,,,,,,,,,,,,,,,
2.61,1.87,0.39,5.13,,,,,,,,,,,,,,,,
0.3,7.35,2.69,9.66,,,,,,,,,,,,,,,,
1.59,7.03,6.77,4.61,,,,,,,,,,,,,,,,
0.99,0.78,2.11,0.12,,,,,,,,,,,,,,,,
1.5,2.41,2.29,1.8,,,,,,,,,,,,,,,,
4.23,1.82,0.58,1.48,1.89,,,,,,,,,,,,,,,
1.62,2.49,2.26,0.91,2.72,,,,,,,,,,,,,,,
5.26,1.18,0.82,3.98,3.76,,,,,,,,,,,,,,,
1.13,1.83,7.13,3.51,1.4,,,,,,,,,,,,,,,
1.35,0.06,1.01,0.17,0.74,,,,,,,,,,,,,,,
2.04,1.36,0.43,1.29,1.54,,,,,,,,,,,,,,,
1.31,0.4,1.66,0.22,1.41,,,,,,,,,,,,,,,
2.06,0.11,1.49,1.44,0.12,,,,,,,,,,,,,,,
0.5,0.47,0.99,0.23,1.41,,,,,,,,,,,,,,,
0.93,1.83,1.57,1,0.22,,,,,,,,,,,,,,,
0.63,2.76,0.4,1.26,0.81,,,,,,,,,,,,,,,
1.53,0.93,0.06,1.68,1,,,,,,,,,,,,,,,
0.18,4.01,1.75,1.87,1.07,,,,,,,,,,,,,,,
0.89,0.97,0.24,0.3,0.6,,,,,,,,,,,,,,,
3.73,2.52,0.06,0.31,0.74,,,,,,,,,,,,,,,
0.67,0.65,0.55,0.06,0.57,,,,,,,,,,,,,,,
0.94,0.16,1.68,0.95,1.96,,,,,,,,,,,,,,,
2.09,1.5,0.85,2.3,4.81,,,,,,,,,,,,,,,
2.61,3.14,7.98,1.09,5.18,,,,,,,,,,,,,,,
1.5,0.32,0.28,0.11,2.79,,,,,,,,,,,,,,,
1.45,0.17,1.51,0.86,1.01,,,,,,,,,,,,,,,
0.24,2.71,1.53,0.97,0.55,,,,,,,,,,,,,,,
0.09,2.97,0.42,0.56,1.96,,,,,,,,,,,,,,,
0.61,0.29,0.22,0.69,0.19,,,,,,,,,,,,,,,
0.29,0.37,0.51,0.05,0.38,,,,,,,,,,,,,,,
0.05,0.12,0.51,0.16,0.26,,,,,,,,,,,,,,,
3.02,6.5,1.08,1.06,2.58,,,,,,,,,,,,,,,
4.1,4.11,1.44,7.9,1.33,,,,,,,,,,,,,,,
0.85,1.1,0.79,2.53,2.73,,,,,,,,,,,,,,,
0.34,0.19,0.89,0.06,0.71,,,,,,,,,,,,,,,
0.43,0.11,0.44,0.41,0.41,,,,,,,,,,,,,,,
0.11,3.37,2.65,1.01,0.5,,,,,,,,,,,,,,,
0.23,0.01,0.06,0.15,0.23,,,,,,,,,,,,,,,
1.71,1.66,1.86,0.52,0.91,,,,,,,,,,,,,,,
1.03,0.53,2.24,0.45,1.75,,,,,,,,,,,,,,,
0.85,1.11,0.32,0.87,0.18,,,,,,,,,,,,,,,
0.35,0.04,0.61,0.85,0.15,,,,,,,,,,,,,,,
0.33,0.21,0.82,0.61,0.18,,,,,,,,,,,,,,,
2.2,0.07,1.4,1.72,3.49,,,,,,,,,,,,,,,
2.55,1.81,1.38,1,2.14,,,,,,,,,,,,,,,
0.13,0.16,0.34,0.07,0.41,,,,,,,,,,,,,,,
0.72,0.67,0.16,1.15,1.18,,,,,,,,,,,,,,,
0.74,0.16,1.1,0.5,0.5,,,,,,,,,,,,,,,
0.09,0.5,0.89,0.08,1.44,,,,,,,,,,,,,,,
0.05,0.36,0.16,0.04,0.39,,,,,,,,,,,,,,,
0.05,0.25,0.4,0.02,0.28,,,,,,,,,,,,,,,
1.64,1.67,1.04,1.03,3.42,,,,,,,,,,,,,,,
1.35,0.73,1.16,0.59,0.05,,,,,,,,,,,,,,,
1.03,1.17,1.71,0.69,0.4,,,,,,,,,,,,,,,
0.67,0.65,0.55,0.06,0.57,,,,,,,,,,,,,,,
0.91,0.52,1.86,1.66,1.71,,,,,,,,,,,,,,,
0.81,1.26,0.4,2.76,0.63,,,,,,,,,,,,,,,
0.22,1,1.57,1.83,0.93,,,,,,,,,,,,,,,
2.06,0.11,1.47,1.44,0.12,,,,,,,,,,,,,,,
1.31,0.4,1.66,0.22,1.41,,,,,,,,,,,,,,,
2.04,1.36,0.43,1.29,1.54,,,,,,,,,,,,,,,
0.18,4.01,1.75,1.87,1.07,,,,,,,,,,,,,,,
1.96,0.95,1.68,0.16,0.94,,,,,,,,,,,,,,,
0.6,0.3,0.24,0.97,0.89,,,,,,,,,,,,,,,
0.89,0.97,0.24,0.3,0.6,,,,,,,,,,,,,,,
3.37,2.52,0.06,0.31,0.74,,,,,,,,,,,,,,,
3.23,2.29,0.12,1.13,3.23,,,,,,,,,,,,,,,
4.26,1.34,0.27,1.8,2.33,,,,,,,,,,,,,,,
1.28,0.69,1.14,1.83,0.08,,,,,,,,,,,,,,,
3.61,1.64,3.44,0.21,1.1,,,,,,,,,,,,,,,
1.79,1.68,0.33,0.11,2.09,,,,,,,,,,,,,,,
0.01,0.07,0.1,0.01,0.02,,,,,,,,,,,,,,,
10.58,6.76,17.41,7.96,7.29,,,,,,,,,,,,,,,
5.77,39.72,4.71,6.67,9.13,,,,,,,,,,,,,,,
15.78,1.04,12.97,17.2,3.01,,,,,,,,,,,,,,,
2.76,0.36,0.6,0.08,2.2,,,,,,,,,,,,,,,
1.07,1.93,0.94,0.49,0.57,,,,,,,,,,,,,,,
2.52,1.75,0.46,0.59,3.56,,,,,,,,,,,,,,,
5.14,0.21,4.23,2.91,3.51,,,,,,,,,,,,,,,
1.02,0.79,0.72,0.84,1.83,,,,,,,,,,,,,,,
0.35,0.13,0.03,0.07,0.42,,,,,,,,,,,,,,,
2.21,11.01,1.61,1.56,3.61,,,,,,,,,,,,,,,
1.27,1.75,0.99,0.34,0.65,,,,,,,,,,,,,,,
0.92,0.38,0.54,0.01,0.15,,,,,,,,,,,,,,,
0.3,3.02,4.11,2.53,0.04,,,,,,,,,,,,,,,
1.79,2.17,3.5,3.17,1.37,,,,,,,,,,,,,,,
0.64,0.9,3.24,5.35,4.87,,,,,,,,,,,,,,,
8.91,2.29,3.74,0.83,4.23,,,,,,,,,,,,,,,
1.56,1.25,1.14,0.95,0.1,,,,,,,,,,,,,,,
1.86,3.31,2.8,0.89,1.14,,,,,,,,,,,,,,,
1.65,10.32,13.47,7.9,6.66,,,,,,,,,,,,,,,
2.52,1.46,3.21,5.6,7.24,,,,,,,,,,,,,,,
6.99,8.63,2.91,8.54,2.93,,,,,,,,,,,,,,,
2.25,1.16,3.54,0.97,2.08,,,,,,,,,,,,,,,
0.04,1.8,1.38,0.73,1.05,,,,,,,,,,,,,,,
0.27,6.85,5.31,6.86,8.71,,,,,,,,,,,,,,,
